iter,acc,nmi,ari,loss
0,0.80273,0.78457,0.72572,0
140,0.80539,0.78402,0.73153,0.04644
280,0.81254,0.79412,0.74254,0.1444
420,0.81784,0.80341,0.75218,0.2018
560,0.82099,0.80914,0.75706,0.2126
700,0.82287,0.81206,0.76021,0.20777
840,0.82464,0.81551,0.763,0.20391
980,0.82597,0.81806,0.76538,0.19896
1120,0.82626,0.81897,0.76604,0.1912
1260,0.82777,0.82151,0.76822,0.19491
1400,0.82761,0.82193,0.76863,0.1867
1540,0.82861,0.82329,0.76922,0.17796
1680,0.82804,0.82309,0.76925,0.17035
1820,0.82877,0.82424,0.76998,0.17876
1960,0.82867,0.82477,0.77065,0.16475
2100,0.82904,0.82538,0.77094,0.16739
2240,0.82879,0.82562,0.77108,0.16145
2380,0.82924,0.82604,0.77158,0.16322
2520,0.82924,0.8262,0.77159,0.15909
2660,0.82964,0.82689,0.77217,0.17128
2800,0.82929,0.82615,0.77121,0.15374
2940,0.82947,0.82617,0.77147,0.14325
3080,0.82946,0.82656,0.77164,0.14797
3220,0.82951,0.82639,0.7716,0.13866
3360,0.82946,0.82638,0.77149,0.14263
3500,0.82919,0.82652,0.77158,0.14241
3640,0.82947,0.82685,0.77198,0.13214
3780,0.82896,0.82668,0.77148,0.13079
3920,0.82936,0.82716,0.77211,0.13205
4060,0.82867,0.82671,0.7715,0.13214
4200,0.8291,0.82714,0.77216,0.12916
4340,0.82837,0.82644,0.77151,0.12447
4480,0.82863,0.82634,0.77166,0.12399
4620,0.82824,0.82638,0.77158,0.12926
4760,0.82844,0.82638,0.77178,0.12474
4900,0.82834,0.82642,0.7718,0.12701
5040,0.82846,0.82649,0.77189,0.12219
5180,0.82849,0.82652,0.77194,0.11695
5320,0.82866,0.82689,0.7722,0.12198
5460,0.82861,0.82685,0.77201,0.11807
5600,0.82849,0.82688,0.77201,0.11655
5740,0.82861,0.82697,0.77205,0.10861
5880,0.82841,0.82693,0.77196,0.11527
6020,0.8286,0.82702,0.77205,0.11282
6160,0.82829,0.82676,0.7716,0.10909
6300,0.82837,0.82666,0.77159,0.10061
6440,0.82806,0.82658,0.77141,0.10605
6580,0.82821,0.82649,0.77133,0.10292
6720,0.82801,0.82657,0.77134,0.10978
6860,0.82814,0.8265,0.77121,0.10079
7000,0.82817,0.82638,0.77127,0.10289
7140,0.82834,0.82673,0.77144,0.09778
7280,0.82834,0.82652,0.7714,0.10481
7420,0.82813,0.82609,0.77109,0.10138
7560,0.82806,0.82608,0.77109,0.10668
7700,0.82779,0.82571,0.77075,0.09906
